DTE;BARRIS;MITJANA
1;1. el Raval;3205
1;2. el Barri Gòtic;3584
1;3. la Barceloneta;
1;4. Sant Pere, Santa Caterina i la Ribera;3821
2;5. el Fort Pienc;3797
2;6. la Sagrada Família;3930
2;7. la Dreta de l Eixample;
2;8. l Antiga Esquerra de l Eixample;4331
2;9. la Nova Esquerra de l Eixample;4228
2;10. Sant Antoni;3782
3;11. el Poble Sec-AEI Parc Montjuïc;3184
3;12. la Marina del Prat Vermell-AEI Zona Franca;
3;13. la Marina de Port;3141
3;14. la Font de la Guatlla;
3;15. Hostafrancs;3280
3;16. la Bordeta;
3;17. Sants-Badal;3391
3;18. Sants;3417
4;19. les Corts;4688
4;20. la Maternitat i Sant Ramon;4287
4;21. Pedralbes;6205
5;22. Vallvidrera, el Tibidabo i les Planes;
5;23. Sarrià;5400
5;24. les Tres Torres;5722
5;25. Sant Gervasi-la Bonanova;5197
5;26. Sant Gervasi-Galvany;5104
5;27. el Putxet i el Farró;4310
6;28. Vallcarca i els Penitents;3918
6;29. el Coll;
6;30. la Salut;
6;31. la Vila de Gràcia;4164
6;32. el Camp d en Grassot i Gràcia Nova;4221
7;33. el Baix Guinardó;3501
7;34. Can Baró;
7;35. el Guinardó;3288
7;36. la Font d en Fargues;
7;37. el Carmel;2907
7;38. la Teixonera;2679
7;39. Sant Genís dels Agudells;
7;40. Montbau;
7;41. la Vall d Hebron;
7;42. la Clota;
7;43. Horta;3301
8;44. Vilapicina i la Torre Llobeta;3103
8;45. Porta;3206
8;46. el Turó de la Peira;
8;47. Can Peguera;
8;48. la Guineueta;
8;49. Canyelles;
8;50. les Roquetes (1);2589
8;51. Verdun;
8;52. la Prosperitat;2952
8;53. la Trinitat Nova;
8;54. Torre Baró;
8;55. Ciutat Meridiana (2);2302
8;56. Vallbona;
9;57. la Trinitat Vella;2328
9;58. Baró de Viver;
9;59. el Bon Pastor;
9;60. Sant Andreu;3288
9;61. la Sagrera;3227
9;62. el Congrés i els Indians;
9;63. Navas;3488
10;64. el Camp de l Arpa del Clot;3579
10;65. el Clot;3403
10;66. el Parc i la Llacuna del Poblenou;
10;67. la Vila Olímpica del Poblenou;
10;68. el Poblenou;4165
10;69. Diagonal Mar i el Front Marítim del Poblenou;5575
10;70. el Besòs i el Maresme;2722
10;71. Provençals del Poblenou;3775
10;72. Sant Martí de Provençals;
10;73. la Verneda i la Pau;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
